"Anxiety1: by counties, local and unitary authorities; 2011/12  – 2015/162",,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,Back to contents,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adults aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,
,,Average (mean) ratings,,,,,,,,,,,,,,,,,,,,,,
,,2011/12,2012/13,2013/14,2014/15,2015/16,,,,,,,,,,,,,,,,,,
Area Codes,Area Names ,,,,,,,,,,,,,,,,,,,,,,,
K02000001,UNITED KINGDOM,3.13,3.03,2.92,2.86,2.87,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,3.14,3.04,2.93,2.86,2.87,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,3.21,3.05,2.97,3.00,2.99,,,,,,,,,,,,,,,,,,
E06000047,County Durham,3.23,3.19,2.99,2.99,3.18,,,,,,,,,,,,,,,,,,
E06000005,Darlington,2.87,2.84,2.79,2.92,2.83,,,,,,,,,,,,,,,,,,
E06000001,Hartlepool,2.96,2.75,2.79,2.63,2.87,,,,,,,,,,,,,,,,,,
E06000002,Middlesbrough,3.59,3.03,3.14,2.99,2.83,,,,,,,,,,,,,,,,,,
E06000057,Northumberland,3.21,2.98,2.98,2.85,2.72,,,,,,,,,,,,,,,,,,
E06000003,Redcar and Cleveland,3.11,3.04,2.91,2.66,2.86,,,,,,,,,,,,,,,,,,
E06000004,Stockton-on-Tees,3.04,2.96,2.86,2.84,2.81,,,,,,,,,,,,,,,,,,
E08000037,Gateshead,3.29,3.13,3.24,3.32,2.98,,,,,,,,,,,,,,,,,,
E08000021,Newcastle upon Tyne,3.32,2.98,3.06,3.23,3.11,,,,,,,,,,,,,,,,,,
E08000022,North Tyneside,3.08,3.10,2.96,2.99,3.18,,,,,,,,,,,,,,,,,,
E08000023,South Tyneside,3.34,3.09,3.05,2.98,3.06,,,,,,,,,,,,,,,,,,
E08000024,Sunderland,3.18,3.12,2.70,3.17,3.00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,NORTH WEST ,3.17,3.08,2.93,2.90,2.93,,,,,,,,,,,,,,,,,,
E06000008,Blackburn with Darwen,3.32,3.09,3.28,3.15,3.05,,,,,,,,,,,,,,,,,,
E06000009,Blackpool,3.44,3.03,3.02,2.96,2.81,,,,,,,,,,,,,,,,,,
E06000049,Cheshire East,3.00,2.91,2.89,2.63,2.45,,,,,,,,,,,,,,,,,,
E06000050,Cheshire West and Chester,2.99,2.89,2.57,2.87,2.81,,,,,,,,,,,,,,,,,,
E06000006,Halton,3.15,3.27,3.15,2.88,2.91,,,,,,,,,,,,,,,,,,
E06000007,Warrington,3.23,3.03,2.85,2.80,2.91,,,,,,,,,,,,,,,,,,
E10000006,Cumbria ,2.87,3.15,2.71,2.86,2.74,,,,,,,,,,,,,,,,,,
E07000026,Allerdale,2.55,2.74,2.59,2.39,2.58,,,,,,,,,,,,,,,,,,
E07000027,Barrow-in-Furness,2.91,2.82,3.49,3.41,2.96,,,,,,,,,,,,,,,,,,
E07000028,Carlisle,2.95,3.25,2.84,3.38,2.95,,,,,,,,,,,,,,,,,,
E07000029,Copeland,2.67,3.32,2.71,2.60,3.07,,,,,,,,,,,,,,,,,,
E07000030,Eden,2.93,4.13,2.28,2.58,2.45,,,,,,,,,,,,,,,,,,
E07000031,South Lakeland,3.15,3.02,2.38,2.74,2.48,,,,,,,,,,,,,,,,,,
E08000001,Bolton,3.07,2.92,2.71,2.91,3.00,,,,,,,,,,,,,,,,,,
E08000002,Bury,3.30,3.33,3.06,2.96,3.11,,,,,,,,,,,,,,,,,,
E08000003,Manchester,3.44,3.23,3.02,2.99,3.08,,,,,,,,,,,,,,,,,,
E08000004,Oldham ,3.41,3.17,3.05,3.15,3.10,,,,,,,,,,,,,,,,,,
E08000005,Rochdale,3.26,3.28,2.89,2.89,3.04,,,,,,,,,,,,,,,,,,
E08000006,Salford,3.42,3.17,3.02,2.77,3.04,,,,,,,,,,,,,,,,,,
E08000007,Stockport,3.02,2.82,2.91,2.83,3.13,,,,,,,,,,,,,,,,,,
E08000008,Tameside,3.21,3.11,3.09,2.95,2.89,,,,,,,,,,,,,,,,,,
E08000009,Trafford,3.24,3.04,2.90,2.91,2.88,,,,,,,,,,,,,,,,,,
E08000010,Wigan,3.25,2.76,2.58,2.79,2.61,,,,,,,,,,,,,,,,,,
E10000017,Lancashire,3.07,2.95,2.91,2.72,3.03,,,,,,,,,,,,,,,,,,
E07000117,Burnley,3.27,3.14,2.75,3.20,3.51,,,,,,,,,,,,,,,,,,
E07000118,Chorley,2.95,2.94,3.03,2.16,2.68,,,,,,,,,,,,,,,,,,
E07000119,Fylde,2.95,2.78,2.99,2.67,2.40,,,,,,,,,,,,,,,,,,
E07000120,Hyndburn,2.82,3.10,3.47,2.48,3.42,,,,,,,,,,,,,,,,,,
E07000121,Lancaster,3.22,2.73,2.30,2.27,2.79,,,,,,,,,,,,,,,,,,
E07000122,Pendle,2.80,3.01,3.42,3.60,2.92,,,,,,,,,,,,,,,,,,
E07000123,Preston,2.96,2.53,2.98,2.73,3.16,,,,,,,,,,,,,,,,,,
E07000124,Ribble Valley,2.69,3.05,2.39,2.50,3.45,,,,,,,,,,,,,,,,,,
E07000125,Rossendale,3.50,2.91,2.57,3.31,3.09,,,,,,,,,,,,,,,,,,
E07000126,South Ribble,3.41,3.01,3.21,2.43,2.69,,,,,,,,,,,,,,,,,,
E07000127,West Lancashire,3.28,3.30,2.99,3.24,3.47,,,,,,,,,,,,,,,,,,
E07000128,Wyre,2.80,3.10,2.86,2.48,3.03,,,,,,,,,,,,,,,,,,
E08000011,Knowsley ,3.35,3.34,3.21,3.31,3.13,,,,,,,,,,,,,,,,,,
E08000012,Liverpool,3.44,3.51,3.36,3.42,3.16,,,,,,,,,,,,,,,,,,
E08000014,Sefton,3.13,2.96,3.10,3.11,2.91,,,,,,,,,,,,,,,,,,
E08000013,St. Helens,3.05,3.11,2.93,2.87,2.85,,,,,,,,,,,,,,,,,,
E08000015,Wirral,3.00,3.24,2.78,2.74,2.65,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,3.09,3.03,2.97,2.97,2.93,,,,,,,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,2.84,2.78,2.77,2.71,2.65,,,,,,,,,,,,,,,,,,
E06000010,"Kingston upon Hull, City of",2.94,3.09,2.91,2.92,3.04,,,,,,,,,,,,,,,,,,
E06000012,North East Lincolnshire,3.06,3.20,2.71,2.76,2.75,,,,,,,,,,,,,,,,,,
E06000013,North Lincolnshire,3.10,2.85,2.82,2.66,2.81,,,,,,,,,,,,,,,,,,
E06000014,York,3.18,2.98,2.89,3.14,3.18,,,,,,,,,,,,,,,,,,
E10000023,North Yorkshire,2.80,2.64,2.54,2.68,2.71,,,,,,,,,,,,,,,,,,
E07000163,Craven,2.87,2.48,2.33,2.34,2.48,,,,,,,,,,,,,,,,,,
E07000164,Hambleton,3.13,2.62,2.43,2.36,2.57,,,,,,,,,,,,,,,,,,
E07000165,Harrogate,2.57,2.66,2.94,2.86,3.04,,,,,,,,,,,,,,,,,,
E07000166,Richmondshire,3.13,2.75,1.76,2.07,2.00,,,,,,,,,,,,,,,,,,
E07000167,Ryedale,2.75,2.67,2.09,2.76,2.72,,,,,,,,,,,,,,,,,,
E07000168,Scarborough,2.82,2.91,2.68,3.08,2.69,,,,,,,,,,,,,,,,,,
E07000169,Selby,2.63,2.31,2.60,2.67,2.86,,,,,,,,,,,,,,,,,,
E08000016,Barnsley,3.27,3.09,2.96,3.15,3.12,,,,,,,,,,,,,,,,,,
E08000017,Doncaster,3.14,3.14,3.12,2.73,2.51,,,,,,,,,,,,,,,,,,
E08000018,Rotherham ,3.37,3.01,2.98,3.22,3.30,,,,,,,,,,,,,,,,,,
E08000019,Sheffield,3.24,3.22,3.24,3.15,3.15,,,,,,,,,,,,,,,,,,
E08000032,Bradford ,3.34,3.07,3.26,3.04,2.72,,,,,,,,,,,,,,,,,,
E08000033,Calderdale,2.98,2.92,3.00,3.05,2.82,,,,,,,,,,,,,,,,,,
E08000034,Kirklees ,3.11,3.10,2.99,3.05,2.92,,,,,,,,,,,,,,,,,,
E08000035,Leeds ,3.10,3.11,3.04,3.08,3.22,,,,,,,,,,,,,,,,,,
E08000036,Wakefield,3.01,3.26,3.10,3.01,2.85,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000004,EAST MIDLANDS,3.12,2.95,2.84,2.73,2.75,,,,,,,,,,,,,,,,,,
E06000015,Derby ,3.15,3.02,3.16,2.95,2.92,,,,,,,,,,,,,,,,,,
E06000016,Leicester,3.27,3.14,3.37,3.08,3.26,,,,,,,,,,,,,,,,,,
E06000018,Nottingham,3.12,2.81,2.79,2.99,2.81,,,,,,,,,,,,,,,,,,
E06000017,Rutland ,3.05,2.97,2.78,2.75,2.65,,,,,,,,,,,,,,,,,,
E10000007,Derbyshire,2.95,3.11,2.71,2.68,2.75,,,,,,,,,,,,,,,,,,
E07000032,Amber Valley,2.86,2.89,2.74,2.57,2.18,,,,,,,,,,,,,,,,,,
E07000033,Bolsover,2.83,2.91,2.25,3.39,3.50,,,,,,,,,,,,,,,,,,
E07000034,Chesterfield,2.96,3.26,2.26,2.13,2.54,,,,,,,,,,,,,,,,,,
E07000035,Derbyshire Dales,2.75,3.21,2.85,2.49,2.58,,,,,,,,,,,,,,,,,,
E07000036,Erewash,3.25,2.90,2.90,2.87,2.39,,,,,,,,,,,,,,,,,,
E07000037,High Peak,2.64,2.95,2.93,2.75,2.61,,,,,,,,,,,,,,,,,,
E07000038,North East Derbyshire,3.08,3.18,2.94,2.79,3.01,,,,,,,,,,,,,,,,,,
E07000039,South Derbyshire,3.11,3.66,2.75,2.57,3.51,,,,,,,,,,,,,,,,,,
E10000018,Leicestershire,3.54,3.12,3.04,2.73,2.82,,,,,,,,,,,,,,,,,,
E07000129,Blaby,3.79,3.19,3.11,2.42,2.91,,,,,,,,,,,,,,,,,,
