"Happiness1: by counties, local and unitary authorities; 2011/12  – 2015/162",,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,Back to contents,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adults aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,
,,Average (mean) ratings,,,,,,,,,,,,,,,,,,,,,,
,,2011/12,2012/13,2013/14,2014/15,2015/16,,,,,,,,,,,,,,,,,,
Area Codes,Area Names ,,,,,,,,,,,,,,,,,,,,,,,
K02000001,UNITED KINGDOM,7.29,7.30,7.39,7.46,7.48,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,7.29,7.29,7.38,7.46,7.47,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,7.19,7.19,7.31,7.36,7.36,,,,,,,,,,,,,,,,,,
E06000047,County Durham,7.12,7.06,7.17,7.41,7.29,,,,,,,,,,,,,,,,,,
E06000005,Darlington,7.36,7.24,7.40,7.48,7.56,,,,,,,,,,,,,,,,,,
E06000001,Hartlepool,7.27,7.15,7.40,7.50,7.26,,,,,,,,,,,,,,,,,,
E06000002,Middlesbrough,7.14,7.27,7.24,7.32,7.50,,,,,,,,,,,,,,,,,,
E06000057,Northumberland,7.24,7.44,7.45,7.44,7.58,,,,,,,,,,,,,,,,,,
E06000003,Redcar and Cleveland,7.26,7.25,7.43,7.47,7.46,,,,,,,,,,,,,,,,,,
E06000004,Stockton-on-Tees,7.24,7.25,7.46,7.56,7.46,,,,,,,,,,,,,,,,,,
E08000037,Gateshead,7.09,7.22,7.25,7.26,7.33,,,,,,,,,,,,,,,,,,
E08000021,Newcastle upon Tyne,7.31,7.20,7.19,7.21,7.16,,,,,,,,,,,,,,,,,,
E08000022,North Tyneside,7.27,7.29,7.40,7.26,7.31,,,,,,,,,,,,,,,,,,
E08000023,South Tyneside,7.03,6.94,7.12,7.21,7.31,,,,,,,,,,,,,,,,,,
E08000024,Sunderland,7.14,7.07,7.38,7.30,7.33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,NORTH WEST ,7.25,7.23,7.29,7.40,7.38,,,,,,,,,,,,,,,,,,
E06000008,Blackburn with Darwen,7.02,7.17,7.26,7.36,7.43,,,,,,,,,,,,,,,,,,
E06000009,Blackpool,6.90,7.07,7.34,7.31,7.37,,,,,,,,,,,,,,,,,,
E06000049,Cheshire East,7.57,7.55,7.34,7.76,7.63,,,,,,,,,,,,,,,,,,
E06000050,Cheshire West and Chester,7.46,7.47,7.31,7.48,7.43,,,,,,,,,,,,,,,,,,
E06000006,Halton,7.22,7.09,7.21,7.36,7.35,,,,,,,,,,,,,,,,,,
E06000007,Warrington,7.27,7.32,7.47,7.50,7.50,,,,,,,,,,,,,,,,,,
E10000006,Cumbria ,7.52,7.30,7.46,7.60,7.55,,,,,,,,,,,,,,,,,,
E07000026,Allerdale,7.76,7.59,7.71,8.07,7.70,,,,,,,,,,,,,,,,,,
E07000027,Barrow-in-Furness,7.49,7.20,6.72,7.15,7.47,,,,,,,,,,,,,,,,,,
E07000028,Carlisle,7.35,7.23,7.32,7.33,7.35,,,,,,,,,,,,,,,,,,
E07000029,Copeland,7.50,7.16,7.58,7.64,7.45,,,,,,,,,,,,,,,,,,
E07000030,Eden,8.02,7.06,7.74,7.55,7.72,,,,,,,,,,,,,,,,,,
E07000031,South Lakeland,7.24,7.37,7.63,7.73,7.66,,,,,,,,,,,,,,,,,,
E08000001,Bolton,7.24,7.15,7.28,7.44,7.37,,,,,,,,,,,,,,,,,,
E08000002,Bury,7.21,7.23,7.44,7.55,7.32,,,,,,,,,,,,,,,,,,
E08000003,Manchester,6.98,7.08,7.11,7.32,7.13,,,,,,,,,,,,,,,,,,
E08000004,Oldham ,7.08,7.13,7.14,7.21,7.23,,,,,,,,,,,,,,,,,,
E08000005,Rochdale,7.09,7.17,7.10,7.31,7.39,,,,,,,,,,,,,,,,,,
E08000006,Salford,6.99,7.04,7.18,7.27,7.34,,,,,,,,,,,,,,,,,,
E08000007,Stockport,7.25,7.45,7.33,7.41,7.28,,,,,,,,,,,,,,,,,,
E08000008,Tameside,7.20,7.15,7.28,7.26,7.36,,,,,,,,,,,,,,,,,,
E08000009,Trafford,7.30,7.35,7.54,7.44,7.65,,,,,,,,,,,,,,,,,,
E08000010,Wigan,7.29,7.35,7.46,7.33,7.65,,,,,,,,,,,,,,,,,,
E10000017,Lancashire,7.35,7.34,7.36,7.55,7.46,,,,,,,,,,,,,,,,,,
E07000117,Burnley,7.33,7.33,7.18,7.50,7.07,,,,,,,,,,,,,,,,,,
E07000118,Chorley,7.29,7.62,7.26,7.75,7.46,,,,,,,,,,,,,,,,,,
E07000119,Fylde,7.15,7.57,7.95,7.80,8.03,,,,,,,,,,,,,,,,,,
E07000120,Hyndburn,7.06,6.85,7.53,7.64,7.27,,,,,,,,,,,,,,,,,,
E07000121,Lancaster,7.37,7.44,7.21,7.61,7.46,,,,,,,,,,,,,,,,,,
E07000122,Pendle,7.72,7.17,6.95,7.75,7.83,,,,,,,,,,,,,,,,,,
E07000123,Preston,7.23,7.53,7.10,7.12,7.10,,,,,,,,,,,,,,,,,,
E07000124,Ribble Valley,7.72,7.09,7.82,8.22,7.22,,,,,,,,,,,,,,,,,,
E07000125,Rossendale,7.36,7.13,7.87,7.19,7.90,,,,,,,,,,,,,,,,,,
E07000126,South Ribble,7.15,7.34,6.82,7.75,7.68,,,,,,,,,,,,,,,,,,
E07000127,West Lancashire,7.28,7.27,7.63,7.11,7.39,,,,,,,,,,,,,,,,,,
E07000128,Wyre,7.62,7.35,7.59,7.51,7.39,,,,,,,,,,,,,,,,,,
E08000011,Knowsley ,7.05,6.99,7.14,7.11,7.16,,,,,,,,,,,,,,,,,,
E08000012,Liverpool,7.07,6.85,7.16,7.04,7.08,,,,,,,,,,,,,,,,,,
E08000014,Sefton,7.39,7.23,7.32,7.32,7.31,,,,,,,,,,,,,,,,,,
E08000013,St. Helens,7.35,7.01,7.17,7.29,7.25,,,,,,,,,,,,,,,,,,
E08000015,Wirral,7.04,7.17,7.12,7.31,7.25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,7.26,7.28,7.36,7.41,7.45,,,,,,,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,7.29,7.35,7.43,7.47,7.68,,,,,,,,,,,,,,,,,,
E06000010,"Kingston upon Hull, City of",7.30,7.12,7.20,7.22,7.25,,,,,,,,,,,,,,,,,,
E06000012,North East Lincolnshire,7.35,7.14,7.37,7.12,7.50,,,,,,,,,,,,,,,,,,
E06000013,North Lincolnshire,7.40,7.46,7.51,7.70,7.41,,,,,,,,,,,,,,,,,,
E06000014,York,7.30,7.36,7.32,7.36,7.55,,,,,,,,,,,,,,,,,,
E10000023,North Yorkshire,7.55,7.39,7.66,7.57,7.55,,,,,,,,,,,,,,,,,,
E07000163,Craven,7.88,7.40,7.80,7.62,7.49,,,,,,,,,,,,,,,,,,
E07000164,Hambleton,7.69,7.57,7.79,7.75,7.84,,,,,,,,,,,,,,,,,,
E07000165,Harrogate,7.35,7.39,7.63,7.63,7.54,,,,,,,,,,,,,,,,,,
E07000166,Richmondshire,7.26,7.54,7.96,7.15,7.95,,,,,,,,,,,,,,,,,,
E07000167,Ryedale,7.74,7.50,7.95,7.45,7.73,,,,,,,,,,,,,,,,,,
E07000168,Scarborough,7.44,7.23,7.28,7.53,7.20,,,,,,,,,,,,,,,,,,
E07000169,Selby,7.76,7.27,7.59,7.60,7.42,,,,,,,,,,,,,,,,,,
E08000016,Barnsley,7.12,7.21,7.32,7.37,7.51,,,,,,,,,,,,,,,,,,
E08000017,Doncaster,7.26,7.34,7.24,7.48,7.70,,,,,,,,,,,,,,,,,,
E08000018,Rotherham ,7.12,7.35,7.38,7.22,7.36,,,,,,,,,,,,,,,,,,
E08000019,Sheffield,7.23,7.13,7.27,7.39,7.48,,,,,,,,,,,,,,,,,,
E08000032,Bradford ,7.21,7.28,7.34,7.49,7.29,,,,,,,,,,,,,,,,,,
E08000033,Calderdale,7.25,7.40,7.35,7.39,7.36,,,,,,,,,,,,,,,,,,
E08000034,Kirklees ,7.29,7.09,7.37,7.42,7.34,,,,,,,,,,,,,,,,,,
E08000035,Leeds ,7.13,7.34,7.26,7.32,7.41,,,,,,,,,,,,,,,,,,
E08000036,Wakefield,7.11,7.20,7.29,7.47,7.39,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000004,EAST MIDLANDS,7.34,7.37,7.42,7.52,7.57,,,,,,,,,,,,,,,,,,
E06000015,Derby ,7.20,7.40,7.32,7.42,7.37,,,,,,,,,,,,,,,,,,
E06000016,Leicester,7.22,7.33,7.23,7.41,7.36,,,,,,,,,,,,,,,,,,
E06000018,Nottingham,7.27,7.26,7.19,7.24,7.36,,,,,,,,,,,,,,,,,,
E06000017,Rutland ,7.79,7.50,7.60,7.68,7.57,,,,,,,,,,,,,,,,,,
E10000007,Derbyshire,7.44,7.37,7.48,7.54,7.67,,,,,,,,,,,,,,,,,,
E07000032,Amber Valley,7.53,7.67,7.24,7.72,7.93,,,,,,,,,,,,,,,,,,
E07000033,Bolsover,7.11,7.25,7.51,6.97,7.20,,,,,,,,,,,,,,,,,,
E07000034,Chesterfield,7.47,7.26,7.66,7.64,7.90,,,,,,,,,,,,,,,,,,
E07000035,Derbyshire Dales,7.53,7.02,7.59,7.95,7.90,,,,,,,,,,,,,,,,,,
E07000036,Erewash,7.61,7.50,7.38,7.67,7.74,,,,,,,,,,,,,,,,,,
E07000037,High Peak,7.28,7.24,7.54,7.55,7.71,,,,,,,,,,,,,,,,,,
E07000038,North East Derbyshire,7.45,7.49,7.55,7.26,7.31,,,,,,,,,,,,,,,,,,
E07000039,South Derbyshire,7.45,7.31,7.46,7.45,7.55,,,,,,,,,,,,,,,,,,
E10000018,Leicestershire,7.33,7.42,7.60,7.63,7.64,,,,,,,,,,,,,,,,,,
E07000129,Blaby,7.09,7.36,7.87,8.01,7.48,,,,,,,,,,,,,,,,,,
