"Life Satisfaction1: by counties, local and unitary authorities; 2011/12  – 2015/162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average (mean) ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011/12,2012/13,2013/14,2014/15,2015/16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area Codes,Area Names ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,UNITED KINGDOM,7.42,7.46,7.51,7.61,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,7.41,7.44,7.50,7.60,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,7.44,7.39,7.47,7.57,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000047,County Durham,7.52,7.30,7.49,7.69,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000005,Darlington,7.50,7.46,7.59,7.68,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000001,Hartlepool,7.48,7.32,7.48,7.66,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000002,Middlesbrough,7.41,7.39,7.41,7.53,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000057,Northumberland,7.49,7.54,7.59,7.63,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000003,Redcar and Cleveland,7.45,7.53,7.57,7.60,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000004,Stockton-on-Tees,7.54,7.53,7.60,7.70,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000037,Gateshead,7.29,7.33,7.30,7.44,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000021,Newcastle upon Tyne,7.53,7.39,7.35,7.30,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000022,North Tyneside,7.29,7.44,7.51,7.50,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000023,South Tyneside,7.21,7.22,7.25,7.53,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000024,Sunderland,7.36,7.32,7.48,7.54,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,NORTH WEST ,7.37,7.41,7.42,7.56,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000008,Blackburn with Darwen,7.11,7.27,7.26,7.54,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000009,Blackpool,7.13,7.34,7.38,7.31,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000049,Cheshire East,7.63,7.56,7.50,7.83,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000050,Cheshire West and Chester,7.50,7.44,7.52,7.71,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000006,Halton,7.43,7.39,7.37,7.57,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000007,Warrington,7.52,7.51,7.53,7.69,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000006,Cumbria ,7.69,7.65,7.73,7.89,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000026,Allerdale,7.88,7.68,7.81,8.14,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000027,Barrow-in-Furness,7.28,7.38,7.38,7.43,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000028,Carlisle,7.65,7.60,7.69,7.64,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000029,Copeland,7.81,7.73,7.85,8.04,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000030,Eden,7.83,7.78,7.89,7.95,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000031,South Lakeland,7.67,7.75,7.76,8.07,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000001,Bolton,7.25,7.39,7.39,7.58,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000002,Bury,7.20,7.47,7.52,7.66,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000003,Manchester,7.26,7.17,7.19,7.33,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000004,Oldham ,7.07,7.30,7.15,7.23,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000005,Rochdale,7.13,7.18,7.23,7.47,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000006,Salford,7.03,7.30,7.27,7.51,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000007,Stockport,7.56,7.60,7.54,7.61,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000008,Tameside,7.34,7.27,7.37,7.36,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000009,Trafford,7.49,7.51,7.62,7.68,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000010,Wigan,7.29,7.39,7.41,7.50,7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000017,Lancashire,7.47,7.48,7.53,7.66,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000117,Burnley,7.14,7.50,7.56,7.72,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000118,Chorley,7.30,7.63,7.54,7.56,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000119,Fylde,7.65,7.40,7.99,7.78,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000120,Hyndburn,7.20,7.11,7.21,7.49,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000121,Lancaster,7.61,7.65,7.65,7.65,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000122,Pendle,7.50,7.02,7.29,7.38,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000123,Preston,7.66,7.58,7.23,7.57,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000124,Ribble Valley,7.93,7.63,8.07,7.98,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000125,Rossendale,7.59,7.52,7.55,7.69,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000126,South Ribble,7.49,7.63,7.24,7.96,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000127,West Lancashire,7.09,7.39,7.55,7.68,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000128,Wyre,7.56,7.47,7.75,7.62,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000011,Knowsley ,7.19,7.17,7.32,7.25,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000012,Liverpool,7.23,7.31,7.21,7.26,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000014,Sefton,7.44,7.39,7.43,7.54,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000013,St. Helens,7.51,7.38,7.46,7.61,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000015,Wirral,7.19,7.39,7.23,7.58,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,7.39,7.46,7.51,7.55,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,7.56,7.63,7.67,7.70,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000010,"Kingston upon Hull, City of",7.42,7.34,7.34,7.44,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000012,North East Lincolnshire,7.47,7.36,7.46,7.51,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000013,North Lincolnshire,7.47,7.46,7.56,7.68,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000014,York,7.57,7.66,7.60,7.69,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000023,North Yorkshire,7.61,7.67,7.76,7.73,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000163,Craven,7.78,7.57,8.13,7.69,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000164,Hambleton,7.75,7.68,7.72,7.69,8.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000165,Harrogate,7.48,7.74,7.73,7.80,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000166,Richmondshire,7.41,7.75,7.82,7.68,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000167,Ryedale,7.60,7.64,7.43,7.76,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000168,Scarborough,7.50,7.52,7.72,7.84,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000169,Selby,7.83,7.77,7.82,7.52,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000016,Barnsley,7.26,7.26,7.37,7.50,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000017,Doncaster,7.36,7.45,7.47,7.51,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000018,Rotherham ,7.26,7.46,7.46,7.39,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000019,Sheffield,7.28,7.39,7.40,7.41,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000032,Bradford ,7.18,7.39,7.46,7.61,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000033,Calderdale,7.48,7.45,7.59,7.60,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000034,Kirklees ,7.32,7.37,7.46,7.52,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000035,Leeds ,7.36,7.47,7.51,7.52,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000036,Wakefield,7.45,7.39,7.47,7.42,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
